NGC221	<b>NGC221</b>: GALXY (E2) in Andromeda<br><b>R.A.:</b> 0 42.7<br><b>Dec.:</b> +40 52<br><b>Magnitude:</b>  8.1<br><b>Surface brightness:</b> 12.4<br><b>Size:</b>  8.5 m x  6.5 m<br><b>Other catalogs:</b>  M<br><b>Dreyer code:</b> vvB; L; R; psmbMN<br><b>Notes:</b> Companion to M31; Member of Local Group
NGC224	<b>NGC224</b>: GALXY (Sb) in Andromeda<br><b>R.A.:</b> 0 42.7<br><b>Dec.:</b> +41 16<br><b>Magnitude:</b>  3.4<br><b>Surface brightness:</b> 13.5<br><b>Size:</b>  189 m x  61 m<br><b>Other catalogs:</b>  M<br><b>Dreyer code:</b> !!!eeB; eL; vmE<br><b>Notes:</b> Local Group; Andromeda Galaxy; nearest spiral
NGC226	<b>NGC226</b>: GALXY (Pec) in Andromeda<br><b>R.A.:</b> 0 42.9<br><b>Dec.:</b> +32 35<br><b>Magnitude:</b> 13.3<br><b>Surface brightness:</b> 13<br><b>Size:</b>  0.9 m x  0.9 m<br><b>Dreyer code:</b> eF; S; R; * 13 s 20''
NGC228	<b>NGC228</b>: GALXY (SBab Ring) in Andromeda<br><b>R.A.:</b> 0 42.9<br><b>Dec.:</b> +23 30<br><b>Magnitude:</b> 13.7<br><b>Surface brightness:</b> 13.8<br><b>Size:</b>  1.2 m x  1.1 m<br><b>Dreyer code:</b> eF; S; R; fainter of 2<br><b>Notes:</b> 2nd of 3
NGC229	<b>NGC229</b>: GALXY (S pec) in Andromeda<br><b>R.A.:</b> 0 43.1<br><b>Dec.:</b> +23 31<br><b>Magnitude:</b> 14.5<br><b>Size:</b>  1 m x  0.4 m<br><b>Dreyer code:</b> vF; S; R; smaller of 2
NGC233	<b>NGC233</b>: GALXY (Elliptical) in Andromeda<br><b>R.A.:</b> 0 43.6<br><b>Dec.:</b> +30 35<br><b>Magnitude:</b> 12.4<br><b>Surface brightness:</b> 13.4<br><b>Size:</b>  1.7 m x  1.6 m<br><b>Dreyer code:</b> F; vS; R; lbM<br><b>Notes:</b> H III 149
AND I	<b>AND I</b>: GALXY (E3) in Andromeda<br><b>R.A.:</b> 0 45.7<br><b>Dec.:</b> +38 3<br><b>Magnitude:</b> 13.2<br><b>Size:</b>  4.0 m x  3.0 m<br><b>Notes:</b> Andromeda Dwarf; Member Local Group
NGC243	<b>NGC243</b>: GALXY (S pec) in Andromeda<br><b>R.A.:</b> 0 46.0<br><b>Dec.:</b> +29 58<br><b>Magnitude:</b> 13.6<br><b>Surface brightness:</b> 12.5<br><b>Size:</b>  0.9 m x  0.4 m<br><b>Dreyer code:</b> F; vS; R; gbM; * 10 p
NGC252	<b>NGC252</b>: GALXY (Sa Ring) in Andromeda<br><b>R.A.:</b> 0 48.0<br><b>Dec.:</b> +27 37<br><b>Magnitude:</b> 12.4<br><b>Surface brightness:</b> 12.8<br><b>Size:</b>  1.4 m x  1 m<br><b>Dreyer code:</b> pB; S; R; pmbM; r; ** p<br><b>Notes:</b> H II 609; Brightest in group; UGC 491
NGC258	<b>NGC258</b>: GALXY (Sb) in Andromeda<br><b>R.A.:</b> 0 48.2<br><b>Dec.:</b> +27 39<br><b>Magnitude:</b> 15.0<br><b>Size:</b>  0.5 m x  0.4 m<br><b>Dreyer code:</b> eF; S; vf * close
